/a0 X,/a0 Y,/a1 X,/a1 Y,/a2 X,/a2 Y,/a3 X,/a3 Y,/b0 X,/b0 Y,/b1 X,/b1 Y,/b2 X,/b2 Y,/b3 X,/b3 Y,/s0 X,/s0 Y,/s1 X,/s1 Y,/s2 X,/s2 Y,/s3 X,/s3 Y,/a4 X,/a4 Y,/a5 X,/a5 Y,/a6 X,/a6 Y,/a7 X,/a7 Y,/b4 X,/b4 Y,/b5 X,/b5 Y,/b6 X,/b6 Y,/b7 X,/b7 Y,/cout X,/cout Y,/s4 X,/s4 Y,/s5 X,/s5 Y,/s6 X,/s6 Y,/s7 X,/s7 Y
2.169343484820458e-09,1,2.169343484820458e-09,0,2.169343484820458e-09,0,2.169343484820458e-09,0,2.169343484820458e-09,1,2.169343484820458e-09,1,2.169343484820458e-09,1,2.169343484820458e-09,1,2.169343484820458e-09,9.533058597883767e-07,2.169343484820458e-09,0.04616102442378818,2.169343484820458e-09,0.01620279597662729,2.169343484820458e-09,0.5233721102667757,2.169343484820458e-09,1,2.169343484820458e-09,0,2.169343484820458e-09,0,2.169343484820458e-09,0,2.169343484820458e-09,1,2.169343484820458e-09,1,2.169343484820458e-09,1,2.169343484820458e-09,1,2.169343484820458e-09,5.418475472866933e-08,2.169343484820458e-09,9.965552924351265e-07,2.169343484820458e-09,0.04616102451727355,2.169343484820458e-09,0.01620350623297126,2.169343484820458e-09,0.5233723031968656
2.170599390770919e-09,1,2.170599390770919e-09,0,2.170599390770919e-09,0,2.170599390770919e-09,0,2.170599390770919e-09,1,2.170599390770919e-09,1,2.170599390770919e-09,1,2.170599390770919e-09,1,2.170599390770919e-09,9.887968906767121e-07,2.170599390770919e-09,0.03365998055328215,2.170599390770919e-09,0.07990717845171451,2.170599390770919e-09,0.6027077375466025,2.170599390770919e-09,1,2.170599390770919e-09,0,2.170599390770919e-09,0,2.170599390770919e-09,0,2.170599390770919e-09,1,2.170599390770919e-09,1,2.170599390770919e-09,1,2.170599390770919e-09,1,2.170599390770919e-09,5.387134729182787e-08,2.170599390770919e-09,1.097946475775624e-06,2.170599390770919e-09,0.0336599806234928,2.170599390770919e-09,0.0799080484023468,2.170599390770919e-09,0.6027079207725563
2.172075285681008e-09,1,2.172075285681008e-09,0,2.172075285681008e-09,0,2.172075285681008e-09,0,2.172075285681008e-09,1,2.172075285681008e-09,1,2.172075285681008e-09,1,2.172075285681008e-09,1,2.172075285681008e-09,1.085829623914058e-06,2.172075285681008e-09,0.02074981190940648,2.172075285681008e-09,0.1679954248355431,2.172075285681008e-09,0.6886709398754458,2.172075285681008e-09,1,2.172075285681008e-09,0,2.172075285681008e-09,0,2.172075285681008e-09,0,2.172075285681008e-09,1,2.172075285681008e-09,1,2.172075285681008e-09,1,2.172075285681008e-09,1,2.172075285681008e-09,5.327681695284818e-08,2.172075285681008e-09,1.156827504109649e-06,2.172075285681008e-09,0.0207498119825182,2.172075285681008e-09,0.167996397167974,2.172075285681008e-09,0.688671102827318
2.173459216044741e-09,1,2.173459216044741e-09,0,2.173459216044741e-09,0,2.173459216044741e-09,0,2.173459216044741e-09,1,2.173459216044741e-09,1,2.173459216044741e-09,1,2.173459216044741e-09,1,2.173459216044741e-09,1.325182426071898e-06,2.173459216044741e-09,0.011506664712784,2.173459216044741e-09,0.2574786575941397,2.173459216044741e-09,0.7575751045755971,2.173459216044741e-09,1,2.173459216044741e-09,0,2.173459216044741e-09,0,2.173459216044741e-09,0,2.173459216044741e-09,1,2.173459216044741e-09,1,2.173459216044741e-09,1,2.173459216044741e-09,1,2.173459216044741e-09,5.342586740389239e-08,2.173459216044741e-09,1.469231470801894e-06,2.173459216044741e-09,0.01150666479747679,2.173459216044741e-09,0.2574796710616967,2.173459216044741e-09,0.7575752376529529
2.174919193510205e-09,1,2.174919193510205e-09,0,2.174919193510205e-09,0,2.174919193510205e-09,0,2.174919193510205e-09,1,2.174919193510205e-09,1,2.174919193510205e-09,1,2.174919193510205e-09,1,2.174919193510205e-09,1.687938229143714e-06,2.174919193510205e-09,0.00637771985473571,2.174919193510205e-09,0.3546133164355277,2.174919193510205e-09,0.8137830022509951,2.174919193510205e-09,1,2.174919193510205e-09,0,2.174919193510205e-09,0,2.174919193510205e-09,0,2.174919193510205e-09,1,2.174919193510205e-09,1,2.174919193510205e-09,1,2.174919193510205e-09,1,2.174919193510205e-09,5.323726936749891e-08,2.174919193510205e-09,1.843515270687248e-06,2.174919193510205e-09,0.006377719910225132,2.174919193510205e-09,0.3546143390922203,2.174919193510205e-09,0.813783100160803
2.176909077362898e-09,1,2.176909077362898e-09,0,2.176909077362898e-09,0,2.176909077362898e-09,0,2.176909077362898e-09,1,2.176909077362898e-09,1,2.176909077362898e-09,1,2.176909077362898e-09,1,2.176909077362898e-09,2.24928530393531e-06,2.176909077362898e-09,0.009077957884356185,2.176909077362898e-09,0.4863341816765506,2.176909077362898e-09,0.866825586439223,2.176909077362898e-09,1,2.176909077362898e-09,0,2.176909077362898e-09,0,2.176909077362898e-09,0,2.176909077362898e-09,1,2.176909077362898e-09,1,2.176909077362898e-09,1,2.176909077362898e-09,1,2.176909077362898e-09,5.28228175514323e-08,2.176909077362898e-09,2.352668398461859e-06,2.176909077362898e-09,0.009077957858785689,2.176909077362898e-09,0.4863351770463823,2.176909077362898e-09,0.8668256509187241
2.179072843413165e-09,1,2.179072843413165e-09,0,2.179072843413165e-09,0,2.179072843413165e-09,0,2.179072843413165e-09,1,2.179072843413165e-09,1,2.179072843413165e-09,1,2.179072843413165e-09,1,2.179072843413165e-09,2.673422732216344e-06,2.179072843413165e-09,0.0217653365375606,2.179072843413165e-09,0.6223352738344362,2.179072843413165e-09,0.9053671269178913,2.179072843413165e-09,1,2.179072843413165e-09,0,2.179072843413165e-09,0,2.179072843413165e-09,0,2.179072843413165e-09,1,2.179072843413165e-09,1,2.179072843413165e-09,1,2.179072843413165e-09,1,2.179072843413165e-09,5.352206572202589e-08,2.179072843413165e-09,2.658910410116107e-06,2.179072843413165e-09,0.02176533646261488,2.179072843413165e-09,0.6223361828792858,2.179072843413165e-09,0.9053671707299591
2.181323039048476e-09,1,2.181323039048476e-09,0,2.181323039048476e-09,0,2.181323039048476e-09,0,2.181323039048476e-09,1,2.181323039048476e-09,1,2.181323039048476e-09,1,2.181323039048476e-09,1,2.181323039048476e-09,2.777772656696772e-06,2.181323039048476e-09,0.03570915094108764,2.181323039048476e-09,0.7434439670614739,2.181323039048476e-09,0.9328852933919878,2.181323039048476e-09,1,2.181323039048476e-09,0,2.181323039048476e-09,0,2.181323039048476e-09,0,2.181323039048476e-09,1,2.181323039048476e-09,1,2.181323039048476e-09,1,2.181323039048476e-09,1,2.181323039048476e-09,5.461941805359391e-08,2.181323039048476e-09,2.596121624932603e-06,2.181323039048476e-09,0.03570915089267922,2.181323039048476e-09,0.7434446764051696,2.181323039048476e-09,0.932885323691487
2.183155187956947e-09,1,2.183155187956947e-09,0,2.183155187956947e-09,0,2.183155187956947e-09,0,2.183155187956947e-09,1,2.183155187956947e-09,1,2.183155187956947e-09,1,2.183155187956947e-09,1,2.183155187956947e-09,2.56898568514575e-06,2.183155187956947e-09,0.0413802151088893,2.183155187956947e-09,0.8160169028502341,2.183155187956947e-09,0.9489471397037412,2.183155187956947e-09,1,2.183155187956947e-09,0,2.183155187956947e-09,0,2.183155187956947e-09,0,2.183155187956947e-09,1,2.183155187956947e-09,1,2.183155187956947e-09,1,2.183155187956947e-09,1,2.183155187956947e-09,5.317987532112492e-08,2.183155187956947e-09,2.180949516426666e-06,2.183155187956947e-09,0.04138021511367498,2.183155187956947e-09,0.8160173898730256,2.183155187956947e-09,0.9489471624281184
2.18526322898803e-09,1,2.18526322898803e-09,0,2.18526322898803e-09,0,2.18526322898803e-09,0,2.18526322898803e-09,1,2.18526322898803e-09,1,2.18526322898803e-09,1,2.18526322898803e-09,1,2.18526322898803e-09,2.230417454364432e-06,2.18526322898803e-09,0.04151466346341438,2.18526322898803e-09,0.8706345282809397,2.18526322898803e-09,0.9625594165307517,2.18526322898803e-09,1,2.18526322898803e-09,0,2.18526322898803e-09,0,2.18526322898803e-09,0,2.18526322898803e-09,1,2.18526322898803e-09,1,2.18526322898803e-09,1,2.18526322898803e-09,1,2.18526322898803e-09,4.586036035246064e-08,2.18526322898803e-09,1.819113094473922e-06,2.18526322898803e-09,0.04151466351872047,2.18526322898803e-09,0.8706348423302471,2.18526322898803e-09,0.962559433000323
2.187311960693746e-09,1,2.187311960693746e-09,0,2.187311960693746e-09,0,2.187311960693746e-09,0,2.187311960693746e-09,1,2.187311960693746e-09,1,2.187311960693746e-09,1,2.187311960693746e-09,1,2.187311960693746e-09,1.493513098021955e-06,2.187311960693746e-09,0.03756823451636031,2.187311960693746e-09,0.9061995019824012,2.187311960693746e-09,0.9721830076165788,2.187311960693746e-09,1,2.187311960693746e-09,0,2.187311960693746e-09,0,2.187311960693746e-09,0,2.187311960693746e-09,1,2.187311960693746e-09,1,2.187311960693746e-09,1,2.187311960693746e-09,1,2.187311960693746e-09,4.719021348486735e-08,2.187311960693746e-09,1.417565035788284e-06,2.187311960693746e-09,0.03756823459188806,2.187311960693746e-09,0.9061997207351892,2.187311960693746e-09,0.9721830196875029
