/c0 X,/c0 Y,/p0 X,/p0 Y,/g1 X,/g1 Y,/p1 X,/p1 Y,/g2 X,/g2 Y,/p2 X,/p2 Y,/g3 X,/g3 Y,/p3 X,/p3 Y,/c4 X,/c4 Y,/c3 X,/c3 Y,/c2 X,/c2 Y,/c1 X,/c1 Y,/g0 X,/g0 Y
1.500017538406963e-08,1,1.500017538406963e-08,1,1.500017538406963e-08,0,1.500017538406963e-08,0,1.500017538406963e-08,1,1.500017538406963e-08,0,1.500017538406963e-08,0,1.500017538406963e-08,0,1.500017538406963e-08,6.408004541053766e-05,1.500017538406963e-08,0.0004121713728072562,1.500017538406963e-08,8.170159448559335e-07,1.500017538406963e-08,0.0001682845557632306,1.500017538406963e-08,0
1.500017639710103e-08,1,1.500017639710103e-08,1,1.500017639710103e-08,0,1.500017639710103e-08,0,1.500017639710103e-08,1,1.500017639710103e-08,0,1.500017639710103e-08,0,1.500017639710103e-08,0,1.500017639710103e-08,6.446092260868627e-05,1.500017639710103e-08,0.0004144157354141972,1.500017639710103e-08,8.176439469747389e-07,1.500017639710103e-08,0.0001696438123435609,1.500017639710103e-08,0
1.500017842316382e-08,1,1.500017842316382e-08,1,1.500017842316382e-08,0,1.500017842316382e-08,0,1.500017842316382e-08,1,1.500017842316382e-08,0,1.500017842316382e-08,0,1.500017842316382e-08,0,1.500017842316382e-08,6.521577799975871e-05,1.500017842316382e-08,0.0004188768749019875,1.500017842316382e-08,8.221526100549774e-07,1.500017842316382e-08,0.0001724114063472659,1.500017842316382e-08,0
1.500018247528939e-08,1,1.500018247528939e-08,1,1.500018247528939e-08,0,1.500018247528939e-08,0,1.500018247528939e-08,1,1.500018247528939e-08,0,1.500018247528939e-08,0,1.500018247528939e-08,0,1.500018247528939e-08,6.671740177070321e-05,1.500018247528939e-08,0.0004277295292598391,1.500018247528939e-08,8.366249958318247e-07,1.500018247528939e-08,0.0001781609527528083,1.500018247528939e-08,0
1.500019057954054e-08,1,1.500019057954054e-08,1,1.500019057954054e-08,0,1.500019057954054e-08,0,1.500019057954054e-08,1,1.500019057954054e-08,0,1.500019057954054e-08,0,1.500019057954054e-08,0,1.500019057954054e-08,6.972489868902874e-05,1.500019057954054e-08,0.0004452576820355401,1.500019057954054e-08,8.708713331073022e-07,1.500019057954054e-08,0.0001910165467470753,1.500019057954054e-08,0
1.500019258027931e-08,1,1.500019258027931e-08,1,1.500019258027931e-08,0,1.500019258027931e-08,0,1.500019258027931e-08,1,1.500019258027931e-08,0,1.500019258027931e-08,0,1.500019258027931e-08,0,1.500019258027931e-08,7.046980490532947e-05,1.500019258027931e-08,0.0004495547818943797,1.500019258027931e-08,8.795763201045362e-07,1.500019258027931e-08,0.0001945442411881467,1.500019258027931e-08,0
1.500019658175686e-08,1,1.500019658175686e-08,1,1.500019658175686e-08,0,1.500019658175686e-08,0,1.500019658175686e-08,1,1.500019658175686e-08,0,1.500019658175686e-08,0,1.500019658175686e-08,0,1.500019658175686e-08,7.196263903243928e-05,1.500019658175686e-08,0.0004581192091427834,1.500019658175686e-08,8.969912947215655e-07,1.500019658175686e-08,0.0002017895032500972,1.500019658175686e-08,0
1.500019765815812e-08,1,1.500019765815812e-08,1,1.500019765815812e-08,0,1.500019765815812e-08,0,1.500019765815812e-08,1,1.500019765815812e-08,0,1.500019765815812e-08,0,1.500019765815812e-08,0,1.500019765815812e-08,7.236489126298758e-05,1.500019765815812e-08,0.0004604164960689479,1.500019765815812e-08,9.016811992974096e-07,1.500019765815812e-08,0.000203689709114707,1.500019765815812e-08,0
1.500019981096065e-08,1,1.500019981096065e-08,1,1.500019981096065e-08,0,1.500019981096065e-08,0,1.500019981096065e-08,1,1.500019981096065e-08,0,1.500019981096065e-08,0,1.500019981096065e-08,0,1.500019981096065e-08,7.317034342278583e-05,1.500019981096065e-08,0.0004650033790466211,1.500019981096065e-08,9.110751256711213e-07,1.500019981096065e-08,0.0002069508263026024,1.500019981096065e-08,0
1.500020302933972e-08,1,1.500020302933972e-08,1,1.500020302933972e-08,0,1.500020302933972e-08,0,1.500020302933972e-08,1,1.500020302933972e-08,0,1.500020302933972e-08,0,1.500020302933972e-08,0,1.500020302933972e-08,7.43772080337004e-05,1.500020302933972e-08,0.000471843359086817,1.500020302933972e-08,9.25165183449631e-07,1.500020302933972e-08,0.0002101814810431905,1.500020302933972e-08,0
