/c4 X,/c4 Y,/s3 X,/s3 Y,/s2 X,/s2 Y,/s1 X,/s1 Y,/s0 X,/s0 Y,/b3 X,/b3 Y,/a3 X,/a3 Y,/b2 X,/b2 Y,/a2 X,/a2 Y,/b1 X,/b1 Y,/a1 X,/a1 Y,/b0 X,/b0 Y,/a0 X,/a0 Y,/c0 X,/c0 Y
1.500002700000001e-08,9.433364751147073e-08,1.500002700000001e-08,3.299577008149756e-05,1.500002700000001e-08,1.795261250128493e-06,1.500002700000001e-08,2.501974368472006e-05,1.500002700000001e-08,7.324598311939289e-06,1.500002700000001e-08,1,1.500002700000001e-08,0,1.500002700000001e-08,0,1.500002700000001e-08,0,1.500002700000001e-08,1,1.500002700000001e-08,0,1.500002700000001e-08,0,1.500002700000001e-08,1,1.500002700000001e-08,0
1.500004300000001e-08,1.286642583391942e-07,1.500004300000001e-08,5.278084076367693e-05,1.500004300000001e-08,2.963384254632928e-06,1.500004300000001e-08,4.561249433597374e-05,1.500004300000001e-08,1.200134055602086e-05,1.500004300000001e-08,1,1.500004300000001e-08,0,1.500004300000001e-08,0,1.500004300000001e-08,0,1.500004300000001e-08,1,1.500004300000001e-08,0,1.500004300000001e-08,0,1.500004300000001e-08,1,1.500004300000001e-08,0
1.500007500000002e-08,1.978973929367183e-07,1.500007500000002e-08,9.433887859733364e-05,1.500007500000002e-08,5.31647433440811e-06,1.500007500000002e-08,8.1254918532704e-05,1.500007500000002e-08,2.17301418767819e-05,1.500007500000002e-08,1,1.500007500000002e-08,0,1.500007500000002e-08,0,1.500007500000002e-08,0,1.500007500000002e-08,1,1.500007500000002e-08,0,1.500007500000002e-08,0,1.500007500000002e-08,1,1.500007500000002e-08,0
1.50001255580767e-08,3.240234562725804e-07,1.50001255580767e-08,0.0001593526894502765,1.50001255580767e-08,9.59191152062239e-06,1.50001255580767e-08,0.0001376911149550072,1.50001255580767e-08,4.342194912150253e-05,1.50001255580767e-08,1,1.50001255580767e-08,0,1.50001255580767e-08,0,1.50001255580767e-08,0,1.50001255580767e-08,1,1.50001255580767e-08,0,1.50001255580767e-08,0,1.50001255580767e-08,1,1.50001255580767e-08,0
1.500016805348217e-08,4.374697179347318e-07,1.500016805348217e-08,0.0002156386870557569,1.500016805348217e-08,1.335884227178258e-05,1.500016805348217e-08,0.0001858074269544987,1.500016805348217e-08,5.934641939999094e-05,1.500016805348217e-08,1,1.500016805348217e-08,0,1.500016805348217e-08,0,1.500016805348217e-08,0,1.500016805348217e-08,1,1.500016805348217e-08,0,1.500016805348217e-08,0,1.500016805348217e-08,1,1.500016805348217e-08,0
1.500017751525054e-08,4.890201749123258e-07,1.500017751525054e-08,0.000231336174291861,1.500017751525054e-08,1.551972851530965e-05,1.500017751525054e-08,0.0002000291218395196,1.500017751525054e-08,6.36100275661332e-05,1.500017751525054e-08,1,1.500017751525054e-08,0,1.500017751525054e-08,0,1.500017751525054e-08,0,1.500017751525054e-08,1,1.500017751525054e-08,0,1.500017751525054e-08,0,1.500017751525054e-08,1,1.500017751525054e-08,0
1.500019643878729e-08,5.927078030658661e-07,1.500019643878729e-08,0.0002586246370583294,1.500019643878729e-08,1.797260174136451e-05,1.500019643878729e-08,0.0002234331687914738,1.500019643878729e-08,7.10797390842902e-05,1.500019643878729e-08,1,1.500019643878729e-08,0,1.500019643878729e-08,0,1.500019643878729e-08,0,1.500019643878729e-08,1,1.500019643878729e-08,0,1.500019643878729e-08,0,1.500019643878729e-08,1,1.500019643878729e-08,0
1.500020112182392e-08,6.000104385979114e-07,1.500020112182392e-08,0.0002636902169364242,1.500020112182392e-08,1.827568526466796e-05,1.500020112182392e-08,0.0002279379912051947,1.500020112182392e-08,7.269956364749469e-05,1.500020112182392e-08,1,1.500020112182392e-08,0,1.500020112182392e-08,0,1.500020112182392e-08,0,1.500020112182392e-08,1,1.500020112182392e-08,0,1.500020112182392e-08,0,1.500020112182392e-08,1,1.500020112182392e-08,0
1.500021048789717e-08,6.293153246787434e-07,1.500021048789717e-08,0.0002770078191630945,1.500021048789717e-08,1.963189635046389e-05,1.500021048789717e-08,0.0002394137055175357,1.500021048789717e-08,7.648463845986841e-05,1.500021048789717e-08,1,1.500021048789717e-08,0,1.500021048789717e-08,0,1.500021048789717e-08,0,1.500021048789717e-08,1,1.500021048789717e-08,0,1.500021048789717e-08,0,1.500021048789717e-08,1,1.500021048789717e-08,0
1.5000212773155e-08,6.4168362908174e-07,1.5000212773155e-08,0.0002797350539272608,1.5000212773155e-08,1.992082823729314e-05,1.5000212773155e-08,0.0002418258506773535,1.5000212773155e-08,7.730988777407027e-05,1.5000212773155e-08,1,1.5000212773155e-08,0,1.5000212773155e-08,0,1.5000212773155e-08,0,1.5000212773155e-08,1,1.5000212773155e-08,0,1.5000212773155e-08,0,1.5000212773155e-08,1,1.5000212773155e-08,0
