/in X,/in Y,/output X,/output Y
9.205216499172124e-09,0,9.205216499172124e-09,0.9999978627324551
1e-08,0,1e-08,1.000002023591531
1.00015625e-08,0.01562500000000117,1.00015625e-08,1.002624992018198
1.00046875e-08,0.04687500000000352,1.00046875e-08,1.005560778103027
1.00109375e-08,0.1093750000000082,1.00109375e-08,1.006421811400499
1.001811763053483e-08,0.1811763053483464,1.001811763053483e-08,1.007306506605994
1.002594238271881e-08,0.2594238271880853,1.002594238271881e-08,1.009097665197541
1.004159188708676e-08,0.4159188708675632,1.004159188708676e-08,1.015661456583303
1.004941663927073e-08,0.4941663927073022,1.004941663927073e-08,1.014512280880145
1.005391101278863e-08,0.5391101278862894,1.005391101278863e-08,1.00339983425474
1.005819232448356e-08,0.5819232448356312,1.005819232448356e-08,0.9726768013490028
1.006308081838841e-08,0.6308081838840492,1.006308081838841e-08,0.8931135416726277
1.006726313069381e-08,0.6726313069381317,1.006726313069381e-08,0.7735230630914806
1.007173123218797e-08,0.7173123218796594,1.007173123218797e-08,0.5814525841125955
1.007649622578521e-08,0.7649622578521436,1.007649622578521e-08,0.3145726127186301
1.007857035409477e-08,0.7857035409476879,1.007857035409477e-08,0.1911549584627527
1.007935333646081e-08,0.7935333646080656,1.007935333646081e-08,0.1480163234380701
1.008091930119288e-08,0.8091930119288206,1.008091930119288e-08,0.08195308753029827
1.008231762583345e-08,0.8231762583345338,1.008231762583345e-08,0.04806166917289377
1.008396604879297e-08,0.8396604879297066,1.008396604879297e-08,0.02662137838560136
1.008564784836993e-08,0.8564784836992577,1.008564784836993e-08,0.0155102822479063
1.008751870197921e-08,0.8751870197920923,1.008751870197921e-08,0.009493815439740622
1.00898782692669e-08,0.8987826926690379,1.00898782692669e-08,0.006391072171049205
1.009293637847055e-08,0.9293637847054749,1.009293637847055e-08,0.005060325169266946
1.009689552709488e-08,0.968955270948756,1.009689552709488e-08,0.004490301955381814
1.01e-08,0.9999999999999923,1.01e-08,0.004215946499243307
1.010009701477829e-08,1,1.010009701477829e-08,0.003972799438991291
1.010029104433486e-08,1,1.010029104433486e-08,0.003507157945928624
1.0100679103448e-08,1,1.0100679103448e-08,0.002729605632583434
