/a X,/a Y,/b X,/b Y,/Cin X,/Cin Y,/G X,/G Y,/P X,/P Y,/S X,/S Y,/Cout X,/Cout Y
6.00234375e-09,1,6.00234375e-09,0.02343750000000176,6.00234375e-09,0,6.00234375e-09,0.0002373583053691445,6.00234375e-09,1.003451534542771,6.00234375e-09,1.00002576901822,6.00234375e-09,6.240768117861897e-06
6.00390625e-09,1,6.00390625e-09,0.03906250000000294,6.00390625e-09,0,6.00390625e-09,0.0002490675444047595,6.00390625e-09,1.005411324909127,6.00390625e-09,1.000029040681861,6.00390625e-09,3.823160720827394e-07
6.00703125e-09,1,6.00703125e-09,0.07031250000000527,6.00703125e-09,0,6.00703125e-09,0.0001871791169788008,6.00703125e-09,1.008540042879553,6.00703125e-09,1.000020754409134,6.00703125e-09,-4.917219940217898e-06
6.013281250000001e-09,1,6.013281250000001e-09,0.13281250000001,6.013281250000001e-09,0,6.013281250000001e-09,7.981857960321449e-05,6.013281250000001e-09,1.012641870588651,6.013281250000001e-09,0.9999990807564191,6.013281250000001e-09,-1.334713330601814e-06
6.022495075283402e-09,1,6.022495075283402e-09,0.2249507528340237,6.022495075283402e-09,0,6.022495075283402e-09,6.549162548388997e-05,6.022495075283402e-09,1.016047119262701,6.022495075283402e-09,0.9999898431107097,6.022495075283402e-09,1.70444885128769e-06
6.0359230918373e-09,1,6.0359230918373e-09,0.3592309183729959,6.0359230918373e-09,0,6.0359230918373e-09,0.000127538806070377,6.0359230918373e-09,1.01974293027404,6.0359230918373e-09,0.9999996933690349,6.0359230918373e-09,-1.846670873989108e-07
6.053491083529815e-09,1,6.053491083529815e-09,0.5349108352981484,6.053491083529815e-09,0,6.053491083529815e-09,-0.0002777665733829502,6.053491083529815e-09,1.011738265534636,6.053491083529815e-09,0.9999809513376964,6.053491083529815e-09,-2.465079816102371e-06
6.06077742008526e-09,1,6.06077742008526e-09,0.6077742008526035,6.06077742008526e-09,0,6.06077742008526e-09,-0.001298887651662676,6.06077742008526e-09,0.9909264157043424,6.06077742008526e-09,0.9999314818606909,6.06077742008526e-09,-1.233735764418267e-05
6.06681646235951e-09,1,6.06681646235951e-09,0.6681646235951029,6.06681646235951e-09,0,6.06681646235951e-09,-0.003008808426368743,6.06681646235951e-09,0.951440868746138,6.06681646235951e-09,0.9998624092138739,6.06681646235951e-09,-1.640770405879533e-05
6.073348256895488e-09,1,6.073348256895488e-09,0.7334825689548783,6.073348256895488e-09,0,6.073348256895488e-09,-0.006184070384062059,6.073348256895488e-09,0.8768164951816594,6.073348256895488e-09,0.99975818385836,6.073348256895488e-09,-2.55983490317655e-05
6.079266236527515e-09,1,6.079266236527515e-09,0.7926623652751489,6.079266236527515e-09,0,6.079266236527515e-09,-0.01149433995500186,6.079266236527515e-09,0.7754399945688497,6.079266236527515e-09,0.9995993692794169,6.079266236527515e-09,-5.124448669277156e-05
6.085493527098575e-09,1,6.085493527098575e-09,0.8549352709857475,6.085493527098575e-09,0,6.085493527098575e-09,-0.02266717750229896,6.085493527098575e-09,0.6387250837172977,6.085493527098575e-09,0.999311344700341,6.085493527098575e-09,-0.0001112475055033547
6.090226401018734e-09,1,6.090226401018734e-09,0.9022640101873382,6.090226401018734e-09,0,6.090226401018734e-09,-0.02691847417592651,6.090226401018734e-09,0.5282397076404159,6.090226401018734e-09,0.9991791362479827,6.090226401018734e-09,8.777600061099375e-05
6.092622784946954e-09,1,6.092622784946954e-09,0.9262278494695407,6.092622784946954e-09,0,6.092622784946954e-09,-0.01558332129186278,6.092622784946954e-09,0.4739227625553332,6.092622784946954e-09,0.9993150647549991,6.092622784946954e-09,0.0005783283827437416
6.095226805329715e-09,1,6.095226805329715e-09,0.9522680532971463,6.095226805329715e-09,0,6.095226805329715e-09,0.02508143537256541,6.095226805329715e-09,0.4130953447996031,6.095226805329715e-09,0.999917794589858,6.095226805329715e-09,0.001623109590911067
6.097675915935538e-09,1,6.097675915935538e-09,0.9767591593553808,6.097675915935538e-09,0,6.097675915935538e-09,0.09645017788773085,6.097675915935538e-09,0.3535962413747793,6.097675915935538e-09,1.001364589398362,6.097675915935538e-09,0.002594418620401117
6.1e-09,1,6.1e-09,1,6.1e-09,0,6.1e-09,0.1912330781197542,6.1e-09,0.2971522109103996,6.1e-09,1.003870058176773,6.1e-09,0.003162511023443987
6.10004272189582e-09,1,6.10004272189582e-09,1,6.10004272189582e-09,0,6.10004272189582e-09,0.1931896196115054,6.10004272189582e-09,0.2960914236093977,6.10004272189582e-09,1.003927901080372,6.10004272189582e-09,0.003168271763389296
6.100128165687461e-09,1,6.100128165687461e-09,1,6.100128165687461e-09,0,6.100128165687461e-09,0.1971162394802885,6.100128165687461e-09,0.2939761987963987,6.100128165687461e-09,1.004044421597787,6.100128165687461e-09,0.003179584757275472
6.100170887583281e-09,1,6.100170887583281e-09,1,6.100170887583281e-09,0,6.100170887583281e-09,0.1990903001563722,6.100170887583281e-09,0.2929229345979453,6.100170887583281e-09,1.004103393930741,6.100170887583281e-09,0.003185176727968829
6.100256331374922e-09,1,6.100256331374922e-09,1,6.100256331374922e-09,0,6.100256331374922e-09,0.2030592320757777,6.100256331374922e-09,0.2908247512362372,6.100256331374922e-09,1.004222767762638,6.100256331374922e-09,0.003196244877385898
6.100427218958203e-09,1,6.100427218958203e-09,1,6.100427218958203e-09,0,6.100427218958203e-09,0.2110793299156302,6.100427218958203e-09,0.2866622347044898,6.100427218958203e-09,1.004467149225515,6.100427218958203e-09,0.003217828633728618
6.100768994124765e-09,1,6.100768994124765e-09,1,6.100768994124765e-09,0,6.100768994124765e-09,0.2274372927411906,6.100768994124765e-09,0.2784715987215682,6.100768994124765e-09,1.004978026768102,6.100768994124765e-09,0.003258974276011945
