/output X,/output Y,/b X,/b Y,/a X,/a Y
1.124893373662711e-08,0.0005738625721494027,1.124893373662711e-08,0,1.124893373662711e-08,0
1.129663307913867e-08,0.0004068040788248029,1.129663307913867e-08,0,1.129663307913867e-08,0
1.136172031368335e-08,0.0002857060669907405,1.136172031368335e-08,0,1.136172031368335e-08,0
1.144947258048899e-08,0.0002014170760027322,1.144947258048899e-08,0,1.144947258048899e-08,0
1.156867301312738e-08,0.0001427300511704791,1.156867301312738e-08,0,1.156867301312738e-08,0
1.173001103345705e-08,0.0001011967475330506,1.173001103345705e-08,0,1.173001103345705e-08,0
1.195020114861937e-08,7.059804911213416e-05,1.195020114861937e-08,0,1.195020114861937e-08,0
1.225079262434694e-08,5.010665719070996e-05,1.225079262434694e-08,0,1.225079262434694e-08,0
1.266368533396973e-08,3.447841619612276e-05,1.266368533396973e-08,0,1.266368533396973e-08,0
1.323093505150172e-08,2.451558954750703e-05,1.323093505150172e-08,0,1.323093505150172e-08,0
1.40143840820455e-08,1.638146337454067e-05,1.40143840820455e-08,0,1.40143840820455e-08,0
1.5e-08,1.205048632954628e-05,1.5e-08,0,1.5e-08,0
1.50005859375e-08,0.0001026251957420242,1.50005859375e-08,0,1.50005859375e-08,0.003906250000008565
1.50017578125e-08,0.0002353195656338475,1.50017578125e-08,0,1.50017578125e-08,0.0117187500000257
1.500410156250001e-08,0.000303878025584078,1.500410156250001e-08,0,1.500410156250001e-08,0.02734375000005996
1.500878906250002e-08,0.000204707379076816,1.500878906250002e-08,0,1.500878906250002e-08,0.05859375000012848
1.501479498939031e-08,8.885031660975682e-05,1.501479498939031e-08,0,1.501479498939031e-08,0.09863326260209833
1.502441106605253e-08,5.552253571029515e-05,1.502441106605253e-08,0,1.502441106605253e-08,0.1627404403501907
1.504136108067733e-08,9.158564103629586e-05,1.504136108067733e-08,0,1.504136108067733e-08,0.2757405378488448
1.505297826758431e-08,0.0001272797469289464,1.505297826758431e-08,0,1.505297826758431e-08,0.3531884505621047
1.506275606285735e-08,0.0001158541072453462,1.506275606285735e-08,0,1.506275606285735e-08,0.4183737523823717
1.507146335107178e-08,-8.303535878925505e-05,1.507146335107178e-08,0,1.507146335107178e-08,0.4764223404785575
1.508201271206644e-08,-0.001073270631905778,1.508201271206644e-08,0,1.508201271206644e-08,0.5467514137762911
1.50898911015334e-08,-0.002979752548013882,1.50898911015334e-08,0,1.50898911015334e-08,0.5992740102226477
1.509724097010883e-08,-0.006054074453529643,1.509724097010883e-08,0,1.509724097010883e-08,0.6482731340588503
1.509932698378098e-08,-0.007224556146565612,1.509932698378098e-08,0,1.509932698378098e-08,0.6621798918732319
1.51034990111253e-08,-0.0101080332849851,1.51034990111253e-08,0,1.51034990111253e-08,0.6899934075019949
1.510673610078363e-08,-0.01295168905125564,1.510673610078363e-08,0,1.510673610078363e-08,0.7115740052242245
1.510984108335672e-08,-0.01644782626836473,1.510984108335672e-08,0,1.510984108335672e-08,0.7322738890447915
