/a X,/a Y,/b X,/b Y,/output X,/output Y
2.082582474886059e-08,1,2.082582474886059e-08,1,2.082582474886059e-08,0.9999997839907077
2.150394598921036e-08,1,2.150394598921036e-08,1,2.150394598921036e-08,1.000000133424995
2.25e-08,1,2.25e-08,1,2.25e-08,0.9999997868682589
2.25005859375e-08,0.9960937499999805,2.25005859375e-08,1,2.25005859375e-08,0.9998773532979921
2.25017578125e-08,0.9882812499999633,2.25017578125e-08,1,2.25017578125e-08,0.9996998039180363
2.250410156250001e-08,0.9726562499999291,2.250410156250001e-08,1,2.250410156250001e-08,0.9996156491659964
2.250878906250002e-08,0.9414062499998604,2.250878906250002e-08,1,2.250878906250002e-08,0.9997315765245762
2.251591034720561e-08,0.8939310186292744,2.251591034720561e-08,1,2.251591034720561e-08,0.99994436260007
2.252740421910276e-08,0.8173052059815835,2.252740421910276e-08,1,2.252740421910276e-08,0.9999460842789468
2.254278750849646e-08,0.7147499433569158,2.254278750849646e-08,1,2.254278750849646e-08,0.9999485179282115
2.256710926580495e-08,0.5526048946336621,2.256710926580495e-08,1,2.256710926580495e-08,1.000011265917675
2.257705366985744e-08,0.4863088676170374,2.257705366985744e-08,1,2.257705366985744e-08,1.000599791264373
2.258463101179693e-08,0.4357932546871386,2.258463101179693e-08,1,2.258463101179693e-08,1.001864887750657
2.259509303004593e-08,0.3660464663604253,2.259509303004593e-08,1,2.259509303004593e-08,1.006163087267265
2.260253827306394e-08,0.3164115129070795,2.260253827306394e-08,1,2.260253827306394e-08,1.012657635285531
2.261048704399364e-08,0.2634197067090381,2.261048704399364e-08,1,2.261048704399364e-08,1.032520513838667
2.261466220648053e-08,0.2355852901298142,2.261466220648053e-08,1,2.261466220648053e-08,1.048203416114571
2.261634307522901e-08,0.2243794984732632,2.261634307522901e-08,1,2.261634307522901e-08,1.048838721234411
2.261814400008179e-08,0.2123733327880379,2.261814400008179e-08,1,2.261814400008179e-08,1.032296800622632
2.262021598988478e-08,0.1985600674347979,2.262021598988478e-08,1,2.262021598988478e-08,0.9739800128960227
2.262208363384732e-08,0.1861091076845202,2.262208363384732e-08,1,2.262208363384732e-08,0.8743975752034983
2.262421499406046e-08,0.1719000395969218,2.262421499406046e-08,1,2.262421499406046e-08,0.7042100993016328
2.262580201542906e-08,0.1613198971396143,2.262580201542906e-08,1,2.262580201542906e-08,0.5440536535148459
2.262735646579367e-08,0.150956894708828,2.262735646579367e-08,1,2.262735646579367e-08,0.3729015611033927
2.262904907525748e-08,0.1396728316167833,2.262904907525748e-08,1,2.262904907525748e-08,0.195640820229855
2.263043461153683e-08,0.1304359230877777,2.263043461153683e-08,1,2.263043461153683e-08,0.09514162562426855
2.263153342018321e-08,0.1231105321119363,2.263153342018321e-08,1,2.263153342018321e-08,0.05427934456944163
2.263294171360098e-08,0.1137219093267782,2.263294171360098e-08,1,2.263294171360098e-08,0.02757216314427502
2.263406305410112e-08,0.1062463059925491,2.263406305410112e-08,1,2.263406305410112e-08,0.01648454324946669
2.263541751294744e-08,0.09721658035038105,2.263541751294744e-08,1,2.263541751294744e-08,0.009310050081937433
2.263719828468856e-08,0.08534476874291475,2.263719828468856e-08,1,2.263719828468856e-08,0.0047740371998515
2.263942085045066e-08,0.07052766366225993,2.263942085045066e-08,1,2.263942085045066e-08,0.002396033726889804
2.26424053453052e-08,0.0506310312986622,2.26424053453052e-08,1,2.26424053453052e-08,0.00110277548562876
2.264655359343636e-08,0.02297604375761464,2.264655359343636e-08,1,2.264655359343636e-08,0.0004039105168297669
2.265e-08,0,2.265e-08,1,2.265e-08,0.0001872961267104367
2.265002566237696e-08,0,2.265002566237696e-08,1,2.265002566237696e-08,0.0001916836618320498
2.265007698713089e-08,0,2.265007698713089e-08,1,2.265007698713089e-08,0.0002017562980955523
2.265010264950786e-08,0,2.265010264950786e-08,1,2.265010264950786e-08,0.0002068167647867538
2.265015397426178e-08,0,2.265015397426178e-08,1,2.265015397426178e-08,0.0002161671724030524
2.265025662376964e-08,0,2.265025662376964e-08,1,2.265025662376964e-08,0.0002335761329079756
2.265046192278535e-08,0,2.265046192278535e-08,1,2.265046192278535e-08,0.0002625576774854148
2.26505645722932e-08,0,2.26505645722932e-08,1,2.26505645722932e-08,0.0002745498650772339
2.265076987130891e-08,0,2.265076987130891e-08,1,2.265076987130891e-08,0.0002939436492913151
2.265118046934033e-08,0,2.265118046934033e-08,1,2.265118046934033e-08,0.0003181875171308611
2.265200166540316e-08,0,2.265200166540316e-08,1,2.265200166540316e-08,0.0003273632144292037
2.265364405752883e-08,0,2.265364405752883e-08,1,2.265364405752883e-08,0.0002742461554971221
2.265446525359167e-08,0,2.265446525359167e-08,1,2.265446525359167e-08,0.0002689720936564262
2.265610764571734e-08,0,2.265610764571734e-08,1,2.265610764571734e-08,0.0001630013298792306
2.265939242996868e-08,0,2.265939242996868e-08,1,2.265939242996868e-08,6.482483982282663e-05
2.266596199847137e-08,0,2.266596199847137e-08,1,2.266596199847137e-08,6.789320926680123e-06
2.267820115905246e-08,0,2.267820115905246e-08,1,2.267820115905246e-08,-1.248619717939076e-06
2.269620255342194e-08,0,2.269620255342194e-08,1,2.269620255342194e-08,4.060045257951452e-07
2.272838894584652e-08,0,2.272838894584652e-08,1,2.272838894584652e-08,-1.908582484211624e-07
2.279276173069568e-08,0,2.279276173069568e-08,1,2.279276173069568e-08,3.239405562703078e-08
2.2921507300394e-08,0,2.2921507300394e-08,1,2.2921507300394e-08,-9.593163969310614e-08
2.317899843979064e-08,0,2.317899843979064e-08,1,2.317899843979064e-08,-6.254518212544015e-09
2.369398071858393e-08,0,2.369398071858393e-08,1,2.369398071858393e-08,-7.848492312739528e-08
2.434699035929197e-08,0,2.434699035929197e-08,1,2.434699035929197e-08,-1.608177566739765e-08
2.5e-08,0,2.5e-08,1,2.5e-08,-7.012887655844602e-08
2.50015625e-08,0,2.50015625e-08,0.9843749999999906,2.50015625e-08,-8.191525028298626e-05
2.50046875e-08,0,2.50046875e-08,0.9531249999999882,2.50046875e-08,-9.03677057196889e-05
2.50109375e-08,0,2.50109375e-08,0.8906249999999836,2.50109375e-08,-1.28491992288029e-05
2.50186812144681e-08,0,2.50186812144681e-08,0.8131878553190617,2.50186812144681e-08,-1.039097667709315e-06
2.50281825046762e-08,0,2.50281825046762e-08,0.7181749532379934,2.50281825046762e-08,-9.189055825772495e-07
2.504718508509242e-08,0,2.504718508509242e-08,0.5281491490758569,2.504718508509242e-08,-5.689408182602546e-06
2.506881244274375e-08,0,2.506881244274375e-08,0.3118755725624976,2.506881244274375e-08,-2.208128954881759e-05
